u,v,key,osmid,highway,oneway,length,name,geometry,speed_kph,bearing,travel_time,grade,grade_abs,simple_model_e,lanes,maxspeed,ref,bridge,junction,width,access
3637357215,82936494,0,182543763,primary,False,33.567,North Main Street,"LINESTRING (-111.8344486 41.7523048, -111.8344397 41.7526066)",79.1,1.3,1.5,-0.01,0.01,111735.73185191202,4,,US 91,,,,
3637357215,82882429,0,182543763,primary,False,239.31700000000004,North Main Street,"LINESTRING (-111.8344486 41.7523048, -111.8344526 41.7521431, -111.8344619 41.7519289, -111.8344663 41.7517084, -111.8344707 41.7515347, -111.8344853 41.7509527, -111.8344964 41.7505151, -111.8345026 41.7502486, -111.834505 41.750153)",79.1,181.1,10.9,-0.004,0.004,767559.2472427395,4,,US 91,,,,
3637357215,3637357217,0,"[358919104, 1104503560]","['residential', 'unclassified']",False,123.25600000000001,1124 North,"LINESTRING (-111.8344486 41.7523048, -111.8346562 41.7523082, -111.8347559 41.7523098, -111.8354823 41.7523216, -111.8355746 41.7523231, -111.8359338 41.7523347)",41.6,271.5,10.7,-0.014,0.014,193826.1476009748,,,,,,,
82882429,3637357215,0,182543763,primary,False,239.317,North Main Street,"LINESTRING (-111.834505 41.750153, -111.8345026 41.7502486, -111.8344964 41.7505151, -111.8344853 41.7509527, -111.8344707 41.7515347, -111.8344663 41.7517084, -111.8344619 41.7519289, -111.8344526 41.7521431, -111.8344486 41.7523048)",79.1,1.1,10.9,0.004,0.004,767514.6995911472,4,,US 91,,,,
82882429,82911649,0,182543763,primary,False,212.845,North Main Street,"LINESTRING (-111.834505 41.750153, -111.8345038 41.7500352, -111.834498 41.7494878, -111.8344999 41.7493706, -111.8345024 41.749215, -111.8345159 41.7484216, -111.8345201 41.7482724, -111.8345218 41.748239)",79.1,180.4,9.7,0.007,0.007,683266.8444412772,4,,US 91,,,,
82882429,82926705,0,"[1043080849, 1043080850]",tertiary,False,106.28600000000002,1000 North,"LINESTRING (-111.834505 41.750153, -111.8347186 41.750157, -111.8355639 41.750173, -111.8357858 41.7501772)",40.2,271.5,9.5,-0.014,0.014,161134.6104634688,,25 mph,,,,,
82882429,82882428,0,1051155473,tertiary,False,428.66099999999994,1000 North,"LINESTRING (-111.834505 41.750153, -111.8343047 41.7501515, -111.8338483 41.7501482, -111.8336545 41.7501468, -111.833475 41.7501455, -111.8333108 41.7501443, -111.8331583 41.7501432, -111.8328874 41.7501412, -111.8319539 41.7501343, -111.8311513 41.7501284, -111.8295515 41.7501184, -111.829338 41.7501171)",40.2,90.5,38.4,0.015,0.015,648575.3624587257,3,25 mph,,,,,
82911649,82911651,0,10082921,residential,False,105.051,900 North,"LINESTRING (-111.8345218 41.748239, -111.8347248 41.7482407, -111.834752 41.7482409, -111.835788 41.7482493)",41.6,270.6,9.1,-0.02,0.02,165263.9934457482,,,,,,,
82911649,82882429,0,182543763,primary,False,212.84499999999997,North Main Street,"LINESTRING (-111.8345218 41.748239, -111.8345201 41.7482724, -111.8345159 41.7484216, -111.8345024 41.749215, -111.8344999 41.7493706, -111.834498 41.7494878, -111.8345038 41.7500352, -111.834505 41.750153)",79.1,0.4,9.7,-0.007,0.007,683082.1152383719,4,,US 91,,,,
82911649,82921009,0,182543763,primary,False,208.398,North Main Street,"LINESTRING (-111.8345218 41.748239, -111.834522 41.7481515, -111.834527 41.7478115, -111.8345308 41.7475188, -111.8345324 41.7474245, -111.834538 41.7471984, -111.8345459 41.7469042, -111.8345472 41.7468614, -111.8345505 41.7466549, -111.8345502 41.7465989, -111.8345593 41.7463651)",79.1,180.9,9.5,0.001,0.001,669055.9528751707,4,,US 91,,,,
82921009,82921011,0,10084120,residential,False,109.18900000000001,800 North,"LINESTRING (-111.8345593 41.7463651, -111.8347648 41.7464137, -111.8358649 41.746437)",41.6,274.2,9.4,-0.022,0.022,171744.9733994206,,,,,,,
82921009,82912571,0,10086144,residential,False,223.204,800 North,"LINESTRING (-111.8345593 41.7463651, -111.8343374 41.7463299, -111.8335257 41.7463319, -111.8334435 41.7463309, -111.8320784 41.746313, -111.8318741 41.7463103)",41.6,91.6,19.3,0.014,0.014,350806.5145950306,,,,,,,
82921009,82911649,0,182543763,primary,False,208.398,North Main Street,"LINESTRING (-111.8345593 41.7463651, -111.8345502 41.7465989, -111.8345505 41.7466549, -111.8345472 41.7468614, -111.8345459 41.7469042, -111.834538 41.7471984, -111.8345324 41.7474245, -111.8345308 41.7475188, -111.834527 41.7478115, -111.834522 41.7481515, -111.8345218 41.748239)",79.1,0.9,9.5,-0.001,0.001,668949.0595865871,4,,US 91,,,,
82921009,82916816,0,182543763,primary,False,182.824,North Main Street,"LINESTRING (-111.8345593 41.7463651, -111.8345738 41.7458621, -111.8345811 41.7456178, -111.8345849 41.7455177, -111.8345969 41.744819, -111.8345967 41.7447212)",79.1,181.0,8.3,-0.001,0.001,587542.6496047048,4,,US 91,,,,
82916816,82916407,0,10083596,tertiary,False,114.47900000000001,700 North,"LINESTRING (-111.8345967 41.7447212, -111.8347998 41.7447252, -111.8349587 41.7447281, -111.8351458 41.7447071, -111.8353133 41.7446609, -111.8354439 41.7446276, -111.8355343 41.7446125, -111.8356308 41.7445964, -111.8359512 41.7445939)",45.2,262.8,9.1,-0.016,0.016,197065.14017688105,,,,,,,
82916816,82921009,0,182543763,primary,False,182.824,North Main Street,"LINESTRING (-111.8345967 41.7447212, -111.8345969 41.744819, -111.8345849 41.7455177, -111.8345811 41.7456178, -111.8345738 41.7458621, -111.8345593 41.7463651)",79.1,1.0,8.3,0.001,0.001,587460.927218217,4,,US 91,,,,
82916816,82921855,0,182543763,primary,False,203.00900000000001,North Main Street,"LINESTRING (-111.8345967 41.7447212, -111.8346017 41.744569, -111.8346149 41.7443538, -111.8346222 41.7441911, -111.8346269 41.7439726, -111.8346292 41.7438001, -111.834631 41.7436892, -111.8346364 41.7434726, -111.8346372 41.7434385, -111.8346458 41.7431964, -111.8346471 41.7431617, -111.8346545 41.7428961)",79.1,181.4,9.2,0.001,0.001,651879.0486401572,4,,US 91,,,,
82916816,82912569,0,186842311,tertiary,False,222.34099999999998,700 North,"LINESTRING (-111.8345967 41.7447212, -111.8343578 41.7447113, -111.8337687 41.7447165, -111.8334286 41.7447195, -111.8330286 41.744723, -111.8326816 41.7447261, -111.8321676 41.7447306, -111.8319173 41.7447328)",45.2,89.7,17.7,0.017,0.017,382359.7275093785,,,,,,,
82921855,9228689886,0,182543763,primary,False,31.084,North Main Street,"LINESTRING (-111.8346545 41.7428961, -111.8346615 41.7426166)",79.1,181.1,1.4,-0.003,0.003,103956.17782046998,4,,US 91,,,,
82921855,82912568,0,10084231,residential,False,222.494,600 North,"LINESTRING (-111.8346545 41.7428961, -111.8344357 41.742894, -111.8344008 41.7428937, -111.8339579 41.7428895, -111.8337689 41.7428877, -111.831973 41.7428708)",41.6,90.7,19.3,0.015,0.015,349696.2575787977,,,,,,,
82921855,82916816,0,182543763,primary,False,203.00900000000001,North Main Street,"LINESTRING (-111.8346545 41.7428961, -111.8346471 41.7431617, -111.8346458 41.7431964, -111.8346372 41.7434385, -111.8346364 41.7434726, -111.834631 41.7436892, -111.8346292 41.7438001, -111.8346269 41.7439726, -111.8346222 41.7441911, -111.8346149 41.7443538, -111.8346017 41.744569, -111.8345967 41.7447212)",79.1,1.4,9.2,-0.001,0.001,651777.9772083377,4,,US 91,,,,
9228689886,82921855,0,182543763,primary,False,31.084,North Main Street,"LINESTRING (-111.8346615 41.7426166, -111.8346545 41.7428961)",79.1,1.1,1.4,0.003,0.003,103899.62662156913,4,,US 91,,,,
9228689886,82930829,0,182543763,primary,False,183.34399999999997,North Main Street,"LINESTRING (-111.8346615 41.7426166, -111.8346662 41.7423475, -111.834689 41.7417119, -111.8347039 41.7410503, -111.8347094 41.7409682)",79.1,181.2,8.3,0.0,0.0,589204.6479426001,4,,US 91,,,,
9228689886,82925286,0,943764027,residential,False,118.406,600 North,"LINESTRING (-111.8346615 41.7426166, -111.8348755 41.7426204, -111.834914 41.7426216, -111.8360877 41.7426549)",41.6,272.1,10.2,-0.011,0.011,186231.24485619974,,,,,,,
82930829,82930752,0,10085619,residential,False,119.25800000000001,500 North,"LINESTRING (-111.8347094 41.7409682, -111.834912 41.7409306, -111.8361403 41.7409507)",41.6,269.1,10.3,-0.004,0.004,187589.8465912252,,,,,,,
82930829,82927769,0,10086230,primary,False,209.187,North Main Street,"LINESTRING (-111.8347094 41.7409682, -111.8347191 41.7408431, -111.834733 41.7405267, -111.8347454 41.7402334, -111.8347503 41.7400911, -111.8347519 41.7400736, -111.8347706 41.7396146, -111.8347763 41.739475, -111.8347793 41.739391, -111.8347858 41.7392321, -111.834792 41.739088)",79.1,181.9,9.5,-0.004,0.004,671534.5233358184,4,,US 91,,,,
