u,v,key,osmid,highway,oneway,length,name,geometry,speed_kph,bearing,travel_time,grade,grade_abs,lanes,ref,maxspeed,bridge,width,junction,access,simple_model_e
82882154,82894277,0,"[10084519, 10085099, 1009735187, 1009735188, 10081047, 10081050]","['unclassified', 'residential']",False,3149.509,"['East 6600 South', 'South 800 East', '800 East']","LINESTRING (-111.8327311 41.6124645, -111.8267328 41.6124278, -111.8253261 41.6124192, -111.8235726 41.6124131, -111.8223425 41.6124089, -111.8179869 41.6123938, -111.8138656 41.6123795, -111.8134108 41.6123732, -111.8132662 41.6122841, -111.8132441 41.611542, -111.8132763 41.6097452, -111.8132763 41.6093761, -111.813247 41.6080413, -111.812959 41.6074095, -111.812914 41.607228, -111.813294 41.6063952, -111.813427 41.6054968, -111.8133515 41.6053195, -111.813164 41.6053043, -111.811625 41.60532, -111.8115188 41.6052942, -111.811467 41.6051975, -111.8115446 41.6031952, -111.8114861 41.6031231, -111.8113048 41.6030887, -111.8099039 41.6030245, -111.8097331 41.6030104, -111.8090677 41.602892, -111.8086615 41.6027975, -111.807964 41.602635, -111.8074758 41.6024423)",48.5,117.9,233.8,0.04,0.04,,,,yes,,,,5831413.0682676425
82882154,82912121,0,"[10082986, 1012818366]",primary,False,1575.782,South 800 East,"LINESTRING (-111.8327311 41.6124645, -111.8327625 41.6111163, -111.8327559 41.609621, -111.8327723 41.6082383, -111.8327864 41.6071384, -111.8328122 41.6060929, -111.8329345 41.6053057, -111.8329374 41.6052819, -111.8330737 41.6047181, -111.8331463 41.6044115, -111.8333526 41.6036622, -111.8336113 41.6026557, -111.8337371 41.6021783, -111.8339068 41.6015566, -111.8340639 41.6009584, -111.8341976 41.6004684, -111.8342355 41.6003295, -111.8344248 41.599584, -111.8347258 41.5984285)",80.0,186.1,70.9,0.004,0.004,2,UT 165,"['45 mph', '55 mph']",,,,,5091665.293586322
82882158,9744155836,0,10080007,residential,False,854.1669999999999,West 6600 South,"LINESTRING (-111.8472538 41.6124974, -111.8467445 41.6124908, -111.8461799 41.6124882, -111.8415525 41.6124665, -111.8400745 41.6124595, -111.8369796 41.6124616)",41.6,90.3,73.9,0.0,0.0,,,,,,,,1339933.7687867542
82882158,82929392,0,"[10085123, 10084313, 10086315]",residential,False,1442.366,"['South 200 East', 'East 600 South', 'South 600 West']","LINESTRING (-111.8472538 41.6124974, -111.8472785 41.6147713, -111.8472479 41.6157831, -111.8471234 41.6162216, -111.8471148 41.6165477, -111.8472173 41.6170808, -111.8472171 41.617154, -111.8472165 41.617408, -111.8472162 41.6175271, -111.847216 41.6176276, -111.8472153 41.6179213, -111.8472136 41.6186131, -111.8472113 41.6195451, -111.8472105 41.6198821, -111.8472101 41.620039, -111.8471849 41.6210719, -111.8472689 41.6212067, -111.8474139 41.6212665, -111.8490185 41.6213402, -111.8492656 41.6213516, -111.8495777 41.6213659, -111.8501001 41.6213899, -111.8502334 41.6214392, -111.8502926 41.6215648, -111.8502457 41.6223494, -111.8502416 41.6224178, -111.8501819 41.6234154)",41.6,348.7,124.8,-0.0,0.0,2,,,,,,,2262232.8643399873
82882158,82935109,0,10086315,residential,False,415.01300000000003,South 600 West,"LINESTRING (-111.8472538 41.6124974, -111.8472803 41.6112822, -111.8473022 41.6102851, -111.8472986 41.6087654)",41.6,180.5,35.9,0.003,0.003,2,,,,,,,651358.885619884
82882162,82921380,0,"[10080009, 351500410]","['unclassified', 'residential']",False,181.187,West 6600 South,"LINESTRING (-111.877251 41.6123313, -111.8762478 41.6123072, -111.8762243 41.6125926, -111.8762526 41.6131853)",48.5,41.2,13.4,0.001,0.001,,,,,,,,336573.0699098982
82882162,82921380,1,10084165,tertiary,False,130.869,1800 West,"LINESTRING (-111.877251 41.6123313, -111.876833 41.6124973, -111.8765853 41.6126962, -111.8763741 41.6129482, -111.8762526 41.6131853)",45.1,41.2,10.4,0.002,0.002,,,,,,,,224830.64475176905
82882162,82931611,0,10085415,tertiary,False,323.352,6600 South,"LINESTRING (-111.877251 41.6123313, -111.8776158 41.6122832, -111.8811348 41.6122748)",45.1,268.9,25.8,-0.004,0.004,,,,,,,,554074.2457622966
82882179,7483718486,0,10080013,residential,False,101.86699999999999,Upper Canyon Road,"LINESTRING (-111.8201339 41.8439696, -111.820018 41.843976, -111.819728 41.844057, -111.819398 41.844183, -111.8190291 41.8443519)",41.6,65.1,8.8,0.027,0.027,,,,,,,,160520.74408233786
82882179,82926623,0,10086150,residential,False,340.32,East 400 North,"LINESTRING (-111.8201339 41.8439696, -111.820239 41.843971, -111.820804 41.843998, -111.822035 41.8441275, -111.822598 41.844206, -111.8241075 41.8446463)",41.6,282.9,29.5,-0.057,0.057,,,,,,,,534136.1248216521
82882179,82888496,0,"[1074855448, 10084625]",residential,False,514.795,"['East 200 North', 'Upper Canyon Road']","LINESTRING (-111.8201339 41.8439696, -111.820134 41.843803, -111.820271 41.8427, -111.820333 41.842474, -111.82043 41.842311, -111.820613 41.842146, -111.820803 41.842054, -111.82117 41.841947, -111.821952 41.841756, -111.822188 41.841653, -111.822294 41.841569, -111.822389 41.841426, -111.822419 41.841322, -111.822426 41.840864, -111.822443 41.8407229, -111.82252 41.8406116, -111.8229787 41.8405519)",41.6,211.8,44.5,-0.021,0.021,,,,,,,,807744.1693224536
82882189,8830093200,0,10080013,residential,False,190.44,Upper Canyon Road,"LINESTRING (-111.8152624 41.8457214, -111.8145533 41.8459268, -111.8144089 41.8459611, -111.8142847 41.8459863, -111.8141648 41.8460051, -111.8140245 41.8460145, -111.8130307 41.8460434)",41.6,79.0,16.5,0.037,0.037,,,,,,,,299411.5300883807
82882189,7483718486,0,10080013,residential,False,348.079,Upper Canyon Road,"LINESTRING (-111.8152624 41.8457214, -111.8155926 41.8456228, -111.81745 41.845045, -111.817956 41.844843, -111.8190291 41.8443519)",41.6,244.0,30.1,-0.03,0.03,,,,,,,,546349.950054341
82882189,429261600,0,954038718,residential,False,54.801,North 600 East,"LINESTRING (-111.8152624 41.8457214, -111.815307 41.84585, -111.8153338 41.8459351, -111.8153477 41.8460083, -111.8153541 41.8461065, -111.8153584 41.8462068)",41.6,351.6,4.7,0.047,0.047,,,,,,,,86834.26410430553
82882189,9834449668,0,954038718,residential,False,55.474000000000004,North 600 East,"LINESTRING (-111.8152624 41.8457214, -111.8152202 41.8456428, -111.8150233 41.8452554)",41.6,159.1,4.8,0.023,0.023,,,,,,,,87704.09587353138
82882204,429261578,0,421032192,residential,False,60.326,Smithfield Canyon Road,"LINESTRING (-111.8048577 41.8498813, -111.8051429 41.8493821)",40.2,203.1,5.4,-0.048,0.048,,,25 mph,,,,,91617.54491851058
