osmid,y,x,street_count,elevation,highway,geometry
429195482,41.8313942,-111.8948095,1,1353.542,,POINT (-111.8948095 41.8313942)
429195501,41.8297759,-111.8933241,3,1351.224,,POINT (-111.8933241 41.8297759)
429196044,41.8358516,-111.8833254,1,1345.448,,POINT (-111.8833254 41.8358516)
429258031,41.8400206,-111.8083159,3,1472.564,,POINT (-111.8083159 41.8400206)
429258142,41.8422651,-111.8122608,1,1470.38,turning_circle,POINT (-111.8122608 41.8422651)
429261578,41.8493821,-111.8051429,3,1472.941,,POINT (-111.8051429 41.8493821)
429261600,41.8462068,-111.8153584,3,1463.607,,POINT (-111.8153584 41.8462068)
429261608,41.8505133,-111.8018437,3,1489.22,,POINT (-111.8018437 41.8505133)
429261615,41.8489843,-111.8131969,1,1471.835,,POINT (-111.8131969 41.8489843)
429262496,41.8502817,-111.815408,4,1468.001,,POINT (-111.815408 41.8502817)
429270380,41.8271628,-111.9509258,1,1343.181,,POINT (-111.9509258 41.8271628)
429270762,41.8690477,-112.0321903,1,1449.502,,POINT (-112.0321903 41.8690477)
429563051,41.8032565,-111.8333651,3,1363.477,,POINT (-111.8333651 41.8032565)
429563053,41.8087398,-111.8373447,3,1362.656,,POINT (-111.8373447 41.8087398)
429564089,41.8067225,-111.8355004,1,1362.167,,POINT (-111.8355004 41.8067225)
429564572,41.8078305,-111.8149684,3,1397.076,,POINT (-111.8149684 41.8078305)
429564574,41.8073675,-111.8151038,1,1398.144,turning_circle,POINT (-111.8151038 41.8073675)
429569524,41.8239481,-111.8054116,3,1470.292,,POINT (-111.8054116 41.8239481)
429569525,41.8239539,-111.809887,3,1445.078,,POINT (-111.809887 41.8239539)
429569556,41.8275971,-111.8132669,3,1437.404,,POINT (-111.8132669 41.8275971)
429569566,41.8311659,-111.8156038,1,1430.179,,POINT (-111.8156038 41.8311659)
429569567,41.8314456,-111.8190065,3,1415.606,,POINT (-111.8190065 41.8314456)
429569798,41.8282432,-111.8064113,3,1473.01,,POINT (-111.8064113 41.8282432)
429569805,41.8282304,-111.8068404,1,1470.767,turning_circle,POINT (-111.8068404 41.8282304)
429569813,41.825096,-111.809329,3,1451.26,crossing,POINT (-111.809329 41.825096)
429569814,41.8249621,-111.8093295,3,1450.813,,POINT (-111.8093295 41.8249621)
429569816,41.8243353,-111.8098016,3,1448.268,,POINT (-111.8098016 41.8243353)
429569830,41.826689,-111.8155523,3,1425.396,,POINT (-111.8155523 41.826689)
429569831,41.826689,-111.8161788,1,1423.273,turning_circle,POINT (-111.8161788 41.826689)
429569832,41.82635,-111.8172345,1,1418.774,turning_circle,POINT (-111.8172345 41.82635)
429571902,41.8301318,-111.8096537,3,1458.377,,POINT (-111.8096537 41.8301318)
429571907,41.8335893,-111.808082,3,1463.621,,POINT (-111.808082 41.8335893)
429571908,41.83359,-111.8066197,3,1468.578,,POINT (-111.8066197 41.83359)
429571909,41.8329733,-111.8066357,1,1469.591,turning_circle,POINT (-111.8066357 41.8329733)
429571910,41.8329875,-111.8081017,1,1465.27,turning_circle,POINT (-111.8081017 41.8329875)
429571913,41.8368152,-111.8056083,3,1468.944,,POINT (-111.8056083 41.8368152)
429571917,41.8357329,-111.803738,4,1477.337,,POINT (-111.803738 41.8357329)
429571918,41.8357317,-111.8031583,1,1480.99,,POINT (-111.8031583 41.8357317)
429572632,41.8288782,-111.8252634,1,1399.073,turning_circle,POINT (-111.8252634 41.8288782)
429572635,41.8289079,-111.8217074,1,1405.852,turning_circle,POINT (-111.8217074 41.8289079)
429573284,41.8363871,-111.817846,3,1430.723,,POINT (-111.817846 41.8363871)
429573290,41.8352015,-111.8177764,3,1425.278,,POINT (-111.8177764 41.8352015)
429576176,41.8504898,-111.8268612,3,1418.1,,POINT (-111.8268612 41.8504898)
429576180,41.8499545,-111.8301983,3,1409.04,,POINT (-111.8301983 41.8499545)
429576195,41.8497627,-111.8311209,3,1407.685,,POINT (-111.8311209 41.8497627)
429576209,41.8505159,-111.8252415,1,1422.443,,POINT (-111.8252415 41.8505159)
429577877,41.8464662,-111.8353034,3,1400.073,,POINT (-111.8353034 41.8464662)
429577885,41.8661078,-111.829062,3,1404.788,,POINT (-111.829062 41.8661078)
429579818,41.8847346,-111.8184844,3,1399.501,,POINT (-111.8184844 41.8847346)
429621553,41.7350476,-111.8261513,3,1409.692,,POINT (-111.8261513 41.7350476)
429621641,41.7341385,-111.8260723,3,1412.227,,POINT (-111.8260723 41.7341385)
429621644,41.7339406,-111.8268705,3,1411.158,,POINT (-111.8268705 41.7339406)
429632359,41.7331567,-111.8247353,4,1387.221,,POINT (-111.8247353 41.7331567)
430654110,41.7413694,-111.800098,3,1412.813,,POINT (-111.800098 41.7413694)
430654111,41.7418633,-111.8004314,3,1412.467,,POINT (-111.8004314 41.7418633)
430654124,41.7419854,-111.8001493,1,1414.008,,POINT (-111.8001493 41.7419854)
430654125,41.7414773,-111.7997112,3,1412.489,,POINT (-111.7997112 41.7414773)
430663931,41.7526604,-111.7969564,3,1464.416,,POINT (-111.7969564 41.7526604)
430663943,41.7526652,-111.7965226,3,1464.031,,POINT (-111.7965226 41.7526652)
430664022,41.7526598,-111.7989607,3,1463.712,,POINT (-111.7989607 41.7526598)
430664023,41.7519176,-111.7972568,1,1463.32,turning_circle,POINT (-111.7972568 41.7519176)
430669592,41.7549505,-111.8138455,3,1413.7,,POINT (-111.8138455 41.7549505)
430669714,41.7572304,-111.8076116,3,1419.21,,POINT (-111.8076116 41.7572304)
430685430,41.7574331,-111.802922,4,1433.444,,POINT (-111.802922 41.7574331)
430685482,41.7584651,-111.8004956,4,1449.181,,POINT (-111.8004956 41.7584651)
430688437,41.7548644,-111.7989497,3,1460.112,,POINT (-111.7989497 41.7548644)
430688861,41.7549312,-111.7981382,1,1460.302,turning_circle,POINT (-111.7981382 41.7549312)
430693110,41.7626937,-111.791263,1,1476.58,turning_circle,POINT (-111.791263 41.7626937)
430693113,41.7556821,-111.7916479,3,1466.323,,POINT (-111.7916479 41.7556821)
430693114,41.7558133,-111.7914846,3,1466.924,,POINT (-111.7914846 41.7558133)
430693117,41.7635668,-111.7864741,3,1488.327,,POINT (-111.7864741 41.7635668)
430693153,41.7657884,-111.7853406,3,1503.488,,POINT (-111.7853406 41.7657884)
430693162,41.7558092,-111.7918068,3,1465.997,,POINT (-111.7918068 41.7558092)
430693163,41.7559231,-111.7916428,3,1466.42,,POINT (-111.7916428 41.7559231)
430693170,41.7670573,-111.7935356,1,1471.754,turning_circle,POINT (-111.7935356 41.7670573)
430693174,41.7625439,-111.7852358,3,1501.537,,POINT (-111.7852358 41.7625439)
430693178,41.7653694,-111.7853262,3,1503.268,,POINT (-111.7853262 41.7653694)
430693185,41.7633591,-111.784001,3,1512.325,,POINT (-111.784001 41.7633591)
430693188,41.7625994,-111.7840327,3,1513.817,,POINT (-111.7840327 41.7625994)
430693194,41.7626702,-111.7833568,1,1520.895,,POINT (-111.7833568 41.7626702)
430694019,41.7594753,-111.7865975,3,1496.226,,POINT (-111.7865975 41.7594753)
430694021,41.7525212,-111.7945565,3,1463.442,,POINT (-111.7945565 41.7525212)
430694025,41.7593135,-111.7864237,3,1497.036,,POINT (-111.7864237 41.7593135)
430694031,41.7595224,-111.7863521,3,1497.292,,POINT (-111.7863521 41.7595224)
430694033,41.7597409,-111.7860203,3,1499.033,,POINT (-111.7860203 41.7597409)
430694037,41.7602539,-111.7857519,4,1504.589,,POINT (-111.7857519 41.7602539)
430694043,41.759303,-111.7850879,1,1509.981,,POINT (-111.7850879 41.759303)
430694044,41.7600258,-111.7849064,1,1513.79,,POINT (-111.7849064 41.7600258)
430694049,41.7603212,-111.7867482,3,1493.669,,POINT (-111.7867482 41.7603212)
430694050,41.7603287,-111.7869953,1,1491.449,,POINT (-111.7869953 41.7603287)
430694051,41.7613467,-111.7863425,3,1495.519,,POINT (-111.7863425 41.7613467)
430715918,41.7765018,-111.8305631,3,1366.44,,POINT (-111.8305631 41.7765018)
430792921,41.7168671,-111.8456645,3,1366.909,,POINT (-111.8456645 41.7168671)
430792931,41.7159184,-111.8456819,3,1367.67,,POINT (-111.8456819 41.7159184)
430792954,41.7173918,-111.8446265,1,1367.691,turning_circle,POINT (-111.8446265 41.7173918)
431583633,41.7634675,-111.828796,3,1380.014,,POINT (-111.828796 41.7634675)
431586904,41.8178295,-111.8330959,3,1376.44,,POINT (-111.8330959 41.8178295)
431586960,41.8202536,-111.8288335,3,1382.916,,POINT (-111.8288335 41.8202536)
431586985,41.8196789,-111.8275533,3,1383.417,,POINT (-111.8275533 41.8196789)
431587056,41.8197329,-111.8271656,1,1383.251,turning_circle,POINT (-111.8271656 41.8197329)
431592527,41.8281946,-111.8349846,3,1393.02,,POINT (-111.8349846 41.8281946)
431592533,41.8265996,-111.8353109,1,1388.892,,POINT (-111.8353109 41.8265996)
431593446,41.7834581,-111.8338161,3,1364.919,,POINT (-111.8338161 41.7834581)
431593475,41.7834245,-111.8225681,3,1372.088,,POINT (-111.8225681 41.7834245)
431593922,41.7779991,-111.8559478,3,1353.638,,POINT (-111.8559478 41.7779991)
431593926,41.7831189,-111.8540649,1,1354.775,,POINT (-111.8540649 41.7831189)
431613265,41.7470917,-111.8640634,1,1353.836,,POINT (-111.8640634 41.7470917)
431613661,41.7266187,-111.8604299,3,1358.536,,POINT (-111.8604299 41.7266187)
432608283,41.704292,-111.8014988,3,1497.576,,POINT (-111.8014988 41.704292)
432610571,41.7059723,-111.7992893,3,1510.883,,POINT (-111.7992893 41.7059723)
432610577,41.7084555,-111.8018583,1,1485.504,turning_circle,POINT (-111.8018583 41.7084555)
432610578,41.7080046,-111.8014598,3,1488.657,,POINT (-111.8014598 41.7080046)
432610598,41.7072942,-111.7986764,4,1513.389,,POINT (-111.7986764 41.7072942)
432610604,41.7071627,-111.7967953,1,1536.88,turning_circle,POINT (-111.7967953 41.7071627)
432610641,41.7078291,-111.8017735,1,1487.672,turning_circle,POINT (-111.8017735 41.7078291)
432611211,41.7035063,-111.8043789,3,1480.171,,POINT (-111.8043789 41.7035063)
432615615,41.7011456,-111.8089575,3,1474.033,,POINT (-111.8089575 41.7011456)
432615621,41.7004226,-111.8086239,3,1476.796,,POINT (-111.8086239 41.7004226)
433214086,41.8987179,-111.9833695,1,1458.189,,POINT (-111.9833695 41.8987179)
440675384,41.8070063,-111.8256267,3,1370.845,,POINT (-111.8256267 41.8070063)
440675385,41.8044337,-111.824225,3,1373.073,,POINT (-111.824225 41.8044337)
440675388,41.8079901,-111.8229306,4,1375.922,,POINT (-111.8229306 41.8079901)
440675389,41.8080296,-111.8255136,3,1371.461,,POINT (-111.8255136 41.8080296)
440675417,41.8043676,-111.8251526,3,1370.601,,POINT (-111.8251526 41.8043676)
440675437,41.8074776,-111.8229485,1,1375.252,turning_circle,POINT (-111.8229485 41.8074776)
440676403,41.8100974,-111.811327,1,1410.853,turning_circle,POINT (-111.811327 41.8100974)
440676415,41.809181,-111.8108827,3,1415.952,,POINT (-111.8108827 41.809181)
440676422,41.8145255,-111.8207734,1,1385.96,,POINT (-111.8207734 41.8145255)
440676470,41.8092065,-111.8113549,1,1412.305,turning_circle,POINT (-111.8113549 41.8092065)
440676472,41.8111206,-111.8049118,1,1449.493,,POINT (-111.8049118 41.8111206)
444964295,41.728285,-111.819897,1,1387.419,,POINT (-111.819897 41.728285)
775507728,41.7387587,-111.8167488,3,1424.196,,POINT (-111.8167488 41.7387587)
775507730,41.7380897,-111.8168273,1,1423.823,,POINT (-111.8168273 41.7380897)
928163327,41.6430759,-111.9449823,3,1434.857,,POINT (-111.9449823 41.6430759)
928163331,41.643394,-111.9418101,3,1415.548,,POINT (-111.9418101 41.643394)
928163333,41.6425284,-111.941254,1,1415.592,turning_circle,POINT (-111.941254 41.6425284)
928163341,41.6445914,-111.9460785,1,1434.807,turning_circle,POINT (-111.9460785 41.6445914)
928163343,41.6445836,-111.9449856,4,1429.601,,POINT (-111.9449856 41.6445836)
928163355,41.6451647,-111.9449884,1,1427.049,turning_circle,POINT (-111.9449884 41.6451647)
928163358,41.6425083,-111.9449877,1,1435.968,turning_circle,POINT (-111.9449877 41.6425083)
928192428,41.6504256,-111.9132923,1,1373.013,,POINT (-111.9132923 41.6504256)
928192430,41.650359,-111.9114266,4,1373.181,,POINT (-111.9114266 41.650359)
928192434,41.6492355,-111.9097486,3,1374.427,,POINT (-111.9097486 41.6492355)
928192435,41.6492877,-111.9118568,1,1374.029,,POINT (-111.9118568 41.6492877)
928192439,41.6527766,-111.9113469,3,1370.43,,POINT (-111.9113469 41.6527766)
928192440,41.6530084,-111.9105376,1,1369.778,turning_circle,POINT (-111.9105376 41.6530084)
928198548,41.6066029,-111.9444553,3,1501.191,,POINT (-111.9444553 41.6066029)
928198562,41.605509,-111.9461628,3,1509.548,,POINT (-111.9461628 41.605509)
928198578,41.6039426,-111.9460303,1,1506.146,turning_circle,POINT (-111.9460303 41.6039426)
928198589,41.6059909,-111.94793,1,1524.836,turning_circle,POINT (-111.94793 41.6059909)
928198609,41.6075173,-111.9454197,1,1514.604,turning_circle,POINT (-111.9454197 41.6075173)
928198622,41.614649,-111.938904,3,1430.237,,POINT (-111.938904 41.614649)
928198637,41.6155532,-111.9377975,3,1423.844,,POINT (-111.9377975 41.6155532)
928198682,41.6146144,-111.939758,3,1432.602,,POINT (-111.939758 41.6146144)
1081502910,41.6106078,-111.9392921,3,1462.096,,POINT (-111.9392921 41.6106078)
1081503323,41.5994957,-111.8980703,1,1489.807,,POINT (-111.8980703 41.5994957)
